Tweet,Class
ههههههههههه قثم إبن أبي كبشة ولد وفاة والده المزعوم عبد اللات إبن عبد المطلب جذور أباؤه معروفة الأمازيغ أقدم شعوب الأرض إفريقيا بغل روح إبحث ثقف روحك هههه جذور أباؤه معروفة,Non-Offensive
اليهود عاشوا مئات السنين الجزائر وتعايش الجزائريون المسلمون لكنهم الحقبة الاستعمارية الفرنسية طعنة ظهر الجزائريين واثبتوا امان خونة العهود والمواثيق معروف تاريخيا الرسول ولامرحبا الجزائر لانقبلهم نريدهم,Offensive
هية مريم جيت بلاصة ضربها كورت قاعدة وانا ورا لبلايك ونتشرف وحاجة أخري اطيح قدامي منفلتهاش جملة تلهات باولادها خير وهف اهزك,Non-Offensive
فلافل حمرا وتهر شمس,Non-Offensive
شر البلية يضحك اضحك اضحك,Non-Offensive
اختك بتصرف وامك شغالة بالبيت والخدامة التونسيين عطالين الذكور والبنات اخواتهم بيصرفوا اشغالهم وتعبهم اليومي وبالاخير يجي الذكر ياخذ ويهرب فرنسا وينكح بنات الأصفر وتبقى البنت بالشارع ربكم حكاية بتنزلون ربكم اساس ربكم محتكريه ليكم وبس القوانين يجب وضعها التجارة الدينية لمؤسسة الدين أصبحت دمار للبلاد والمجتمع يجب عودة العمايم وتيوس الشيوخ الفاسدة للمساجد ويكفي التحكم بالبلاد السياسة والاقتصاد والقانون يذهب الفرد للمرحاض التبول يكفي يكفي عقود طويلة حكم شريعة الأزهر المصري ترعة جاموسة الصعيد ووهابية سلف الإخوان المسلمين الاقذار انظروا وصلوا بخراب البلاد المعرص تبع النهضة الإخوانجي القذر جاء أوروبا ودمر البلاد وارجعها للوراء تونس الخضراء الزاهية المتطورة المتسامحة الحرة حولها الغنوشي القذر تيوس مشايخ الأزهر المصري واخوانجية رابعة ووهابية سلف الإرهاب دولة العصور الوسطى ادعسوهم بالاحذية والنعل الجراثيم الاعرابية الصحراوية,Non-Offensive
حاط مخي فرق أبيض أسود خالطت السود شفت تصرفاتهم رسيستية معقدين لونهم الأسباب عديدة المجتمع يغزرلهم رغم أني أقل لأحد كحلوش تقول أسمر نخفف ماكس حقيقة دينا فرق أعجمي أعربي بالتقوى هات يفهم شرتين,Offensive
خافو أهل تونس أمر تعالى يناقش,Non-Offensive
هههههه هههههه قابلتك مرات توسوس منوووو,Non-Offensive
تحية خويا حب متبادل ايتام بورقيبة يحبو الراجل الديوث,Non-Offensive
هههههههههه الفيديو استنتجت الشعب التونسي أغبى شعب العالم النساء الرجال ڨاااااااع حمير بعزيز تفوو كفار زبيييي,Offensive
نقبلوا الجزائري والمغربي تونس السود الأفارقة فغير مرحب جراثيم فتاكة,Offensive
معرسة بكلب,Non-Offensive
هههههه شعب بهيم الافارقة تجيب الغرب بحجة هجرة لتغيير بلدان المغرب العربي ديمغرافي وتقسيمهم وانحلال الشعوب واان بتونس ومائتين افريقي جلهم بدون وثائق والغرب ضغطو تونس لقوانين تحميهم ودستور واجبارهم للعمل والبقية تأتي التوطين والجنسية ومساكن ابهم شعب تونس تاو تعرفو معنى الهجرة,Offensive
رعاية الاطفال ختصاص الطرفين النص بالنص مصاريف المنزل النص بالنص بالتساوي المصاريف الشخصية لبس وعلاج وغيرو مسؤول نفسو سقوط حق المهر والمؤخر والشبكة للمراة حالة الطلاق يتحمل الاثنين مصاريف الاطفا,Non-Offensive
خويا الساحلية ولاد قحبة يفطرو رمضان مهمش الرجال جماعك الجنوب خاطينا برجالنا,Offensive
رسولك ارهابي يزبي توجد تاريخيا محمد الرسول الوحيد فبركة ماهوش موجود اذاكة عندو قبر صورة,Offensive
ربي نجينا الفتن,Non-Offensive
وتبقى مشكلة ذوي البشرة السوداء انهم يعتبروا انفسهم اجانب توانسة كفانا فتنة,Non-Offensive
بجاه ربي مايا الخرا تجيبوها ثعلب السحراء,Offensive
مريض,Non-Offensive
رأيك حرة متطورة مخك قافزة الإسلام دين رجعي,Non-Offensive
الحق الرىيس التونسي الحق الشباب التونسي يحملو السلاح اعلان الجهاد قتل الكفار,Offensive
رجل زمن قل الرجال,Non-Offensive
زبور خالتك قلقك يوتوب قنواتك لمارك خارجين لينا ازبي ناكك دزيري خلصكش,Offensive
مايا غالطين ىاح تحرقلكم القناة,Non-Offensive
العبدلئ ذاتك حيوان حياتي كرهت تونسي كرهت ربك حمار,Offensive
النضام السعودي,Non-Offensive
فيلم عاملينو متفاهمين يمثلو عالعباد,Non-Offensive
طاعة لمخلوق معصية الخالق تستحق تظن خير حكك تعالى خسيس اللهم انصر الاسلام تونس اللهم انصر المسلمين تونس,Offensive
وديع الجرو إنسان فاسد بالرسمي وضع التحكيم التونسي خير شاهد الناجي الجويني حكم,Non-Offensive
جمال صوت تفففو وجهك تقول جاموس والله صوت الضباع الطف صوتك,Non-Offensive
صح معزة ماتحكي كريم استري روحك ياحمارة بالحجاب معزة اشرف,Offensive
ممكن سؤال لقب قارة عربي يهودي افيدونا,Non-Offensive
دربكم ولسلام زبي,Offensive
باينة تكذب حكاية خوتاتها ديجا الحصة اتفه الحصص بالعاني يديرو باه يلهيو ااشعب التونسي اهم مشاكلو السياسة صارية الجزائر تحية ليكم اخوتي التوانسة,Non-Offensive
فضيحه داوي بسبان ربي منافق,Offensive
هههههه والله غايضني حالك ايش يستنا,Non-Offensive
يعطيوك ديراكت الجنسية,Non-Offensive
دينكم ولي ديني الحمد لله رب العالمين مالك اادين,Non-Offensive
مركيت لخره تمركي وتقول مبهمك نوح تحكي وعلاه لكلام الماسط اصلو,Non-Offensive
واستقلت ولاية,Non-Offensive
جبهالك ملخر ولد عواطف نحب نسهل عايش فرنسا راسك جيب جعبابو مشيت دويت مريض مستحقهم خير يدوخ رهوط وذني,Non-Offensive
والله تحب امسح هادو تعليقات حر روحو بلاد لملاح ومش ملاح,Non-Offensive
ماهذا الانحطاط وماهاذا الشاب بشير يدعي الفن الاستاذة مايا حق بفن تناقش الدين,Non-Offensive
مكذبكم,Non-Offensive
بعران الخليج غنم امريكا سبب بلية العرب خلو تونسي جزايري مغربي مصري,Offensive
الحاكم كافر يجب الخروج والجهاد ضده,Offensive
موسيو حبس هههههههههههههه العلمانية اليهوذية قتلت الروح التونسية الطريق الجزائر,Offensive
إتقوا كفرة,Offensive
كربلاء وبلاء ينعلك كلب جزايرين نموتوا توانسا حيوان المغاربة خوتنا نت تمثل,Offensive
مؤيد نضام الطواغيت امثالك اصبحت تونس مرحاض العالم يأتي اليكم يقصد ادباركم وفروجكم ولولا الاسلام لسببت امك واختك ووو الاسلام افتخر بالانتماء يمتعني تنسى موعود ومشهود وتقف الواحد القهار,Offensive
نعيم الزعيم تونس رغم الثورة زالت تستقطب اكبر الطلاب الوافدين شد بلادك المنيكة بلاد الارهاب الطائفية بلاد الفقر الفرعنة بلاد ميا خليفة شخص حاقد حاسدنا لانو تكلمت بموضوعية تصنيف جامعاتنا احسن المغرب الجزائر يقارن,Offensive
قطع اليد رحمة للمجتمع الإسلام يوفر العون للفقير صدقة وزكاة ورعاية للفقراء والمساكين الإسلام دين تكافل فالسارق يسرق وجب وضع ليد السارق ترى تزهق الأرواح بغرض السرقة يسرق تقطع يده يستطيع السرقة وسيص,Offensive
الهم انصر المجاهدين الخروج الحاكم شرعي يجوز الحكام العرب ليسو شرعيين وبارك هدا شاب مشاء علبه,Offensive
الاحترام لشخصك,Non-Offensive
خخخهههههخخخ,Non-Offensive
الشعب التونسي رخيس مذلول زمان عادي تونسيون قادم اعظم,Offensive
فاهم الكلام البنت تصرف الراجل البنت تدفع المهر للراجل ربنا ونفس الموضوع الميراث,Non-Offensive
قلتلكمش راهي طلعت اكاكا,Non-Offensive
السياسيين اختارو الضلالة النور الجهل العلم الخروج الاصل,Non-Offensive
والله أعجبني الرجل فعلا وطني وكم تمنيت تكلم عصر ربما أحسن معنة الرجولة بلاش ينفع العقار أفسده الدهر,Non-Offensive
جاهل,Non-Offensive
جبري تقعد نيك,Offensive
سيدي ابن المراة الخلفه,Non-Offensive
لطفي مربي,Non-Offensive
بكلامي أقصد التونسيين فئة راهي تعرف روحها نهار تصوموا رمضان تغلقوا المحلات وقت صلاة الجمعة الميراث ساهل تحكيو,Non-Offensive
كتجبدي لمغاربة اختى اشنو ذرنا حرام جزائري كيسب خاصكم دخلو لمغاربة وسط المعمعة معقول عبيد ربي مجياش نسب شفت هذاك كيسب تونسا بأسم مغربي وشكرا,Non-Offensive
نحب نفهم نسبة كبيرة العنوسة القانون مافائدة تنفيد قرارات فرنسا الغبية تحطيم نسيج الاجتماعي التونسي هوا راجل التونسي زوالي مايملك تقاسمه زوجته الميراث نحكو الدين الاسلامي القانون يعارض الاسلام قطعااا ماغير شك,Non-Offensive
زناديق الزنديق يقتل,Offensive
جزاكم الخير اخواننا تونس,Non-Offensive
دير فلباااز,Non-Offensive
راسين شاشيه,Non-Offensive
لطفي شلاغم,Non-Offensive
اذبحوها,Offensive
يصلح آخر الأمة صلح اولها,Non-Offensive
بلادو موسخة,Offensive
هههههه,Non-Offensive
ينعل الزامل بوك المغاربة نصومو ولد القحبة,Offensive
شرفاء ايهالمتطهرون حل لوا البنت قالت كلثوم وردة وتريد تعيش تقلقك تشاهدها وبدل القناة واهتم أفضل مثلا اقرى القران كتاب الحديث تريد دك اذهب الخمارة وأحتسي طاب المشروب وخلي سبيل الناس,Non-Offensive
بشير ادافعو اعليه قلكم عادي لغنا اسرئيل,Non-Offensive
الزززب التيس سب ربى فرحانين عندين زك امكم كلكم,Offensive
بصيفتك جاية تحكي زبي امشي نيك مك,Offensive
وجها صحيح ومتحمش متربية بلاصتها,Non-Offensive
نهارت لی ول ی الل واط الس حاق بقدرة نصنعوا الن ووی بالل اهی بر نیکم ک القحبة الباجی متاعک بشری القحبة الملهط العید أشرف ک یا خنزیر فی فرانسا بعینی شفتهم یشربوا فی دم الحل وف حی,Offensive
واياك يحفظكم ربي,Non-Offensive
انجم نكتب شاك ونصحح,Non-Offensive
احتضن اليهود الثورة اكيد الشعب يحتضنهم اكيد ارادو الرجوع بلدهم يوجد اشكال بلد السلام,Non-Offensive
اووووه أمين خراء فدينا هالفازات الماسطة اعع خيت ساي وفيتو عمناول ومعاش عاملين البوز فدينا,Offensive
حليتولهم ترمهم فها لبلاد القحبا كرهت زكمكم ختفوه نيكمك,Offensive
برا للطبيب داوي روحك حالتك متعبة اصل,Non-Offensive
لطفي العبدلي سخيف ومغيار وماهوش أهل فنان شد قهوتك وسيب الفن بدون اخلاق,Offensive
حياته حر إتصارح لعبد متصارحهمش حريتها خصوصيته أسرار ميحبش إقولها ميهمكمش كذب إقول كلام صادق,Non-Offensive
أسمك يهودي ولد القحبة اليهودي يشرفك مسلم إرهابي داعشي,Offensive
حبيت تلم شوي جمهور تنكت ههه تحشالك عفاط صحية مايا,Offensive
والله اراك الاخارجيا تكفيريا قح,Offensive
كردونه عاهره تفوه اعليك مادين قطاس متنجموش صندوق خشب لدرجه الطفل التونسي محقور كلاب وزيركم نازله الحيوان افضل,Offensive
كلي مكش,Non-Offensive
المقيم الفرنسي يعطي الاوامر تحبو الموبنة عجلة تونس سيب لوغة حقوق الانسان خليتونا تحن نظام ديكتاتوري ونتم تصفقو خماج تفيه,Offensive
هاها قل ماهي بلدك وراح افتح ملفاته المتعلق بشعبه,Non-Offensive
لعنة هالخلايق,Non-Offensive
والله مافاهم حاجة ربي يهديه الضواهري اكبر عملاء امريكا,Non-Offensive
تربحهم دخلوها البلاد حيط مزال بالله ميصليش يسكر ظد الشي معجبهمش القران يجيبو احكام,Offensive
والله مذيعة ضامرة ههههههه تحياتي الجزائر,Non-Offensive
الاعراب بيدو فاهم مسكين هالاشكال محلهم عندو ههههههههههه,Non-Offensive
بالرسمي قحبة وقعرة ورقعة وجايا الهيييييييه خشش صغرتها,Offensive
تحيا الجزائر,Non-Offensive
لعنة وكالين رمضان التوانسى الأحرار يرفضو الجراثيم تنخر المجتمع التونسي الملحدين يجب التصدي يسيء لديننا الحنيف واللى بغا يفطر علنا يخرج البلاد ويروح لأوروبا,Offensive
موضوع لنقاش حسمه القران النازل رب العالمين يعرف سيكون يكن سيكون يقع جهل تجاهل,Non-Offensive
نتوما التوانسة تفهمو الدنيا خير ربي خلقها اوشرطلها امور تمشي الدنيا غدغد يهدينا اويهديكم,Non-Offensive
شك التوانسة فسااااااد,Offensive
عارفة روحها كبرت صايي وخرفت,Non-Offensive
صحيح الأجانب اد كيفنا حياتهم مظاهر نقدسو الاجانب,Non-Offensive
إفريقي يتعرى المغرب نريد مشاكل,Offensive
شاء,Non-Offensive
خي كذابه دايره روحها كبيره ودير وتعرف وسياسه ودنيا لكان مديرش بوز متكلش,Non-Offensive
الشيئ يمس ديننا الاسلامي وشريعة احكامو وتوابت الاسلام يبقي شأن داخلي ويعني المسلمين اجمعين,Non-Offensive
يجب يكونوا نعالا لايران روافض يقتلون السنة افريقيا أليس,Offensive
قبحكم لله ياخوارج العصر,Offensive
يجبو ضيف يقلولو شريك حاجة هذكا اكيد فهمتوني حاجة موضوع الدين يعطي رايو ميعجبهمش رايو يطحو طحين بوهم الحنين ميا اختصاص,Non-Offensive
ياريت فهمت,Non-Offensive
بلاهي برا نيك,Offensive
روح نحي التيشارت الفلفل فلفل ههههههههه,Non-Offensive
كامل خرج انثى انشاله ليدجيبلكم داعش لتونس,Non-Offensive
جايبها راجل قلي سوسة,Non-Offensive
لعنة ياعدو ياخنزير,Offensive
لطفي رقاص اكتر شمس يطيحش لمستواك,Non-Offensive
حرية التعبير حق نقول رأي كيمه رأيهم,Non-Offensive
تمثلية وجه الكبش,Non-Offensive
تونسيوون التجزئة الدين الاسلامى اعلنوها صريحة تركنا الاسلام لانريدة,Non-Offensive
تجبد حكه نيفيا وشنوا المشكل اوريك لهو غاير شمس تحكو الرجلة تتقاسش بالكلام الزايد والغشة وقلة الحياء تتقاس بالتربية والأخلاق والنضافة بالك إتضحك العباد مستانس تعمل التوانسة أوعى والشلايك لكيفك معاش نحبوهم لحاس منافق تخدم منشط سياحي دار جربة تحط النفيا تلبس سترنق تمكيج وتلبس روبا نسيت نعرفو خدمة المنشط السياحي قرد,Non-Offensive
الفوس تتصرف برامج تااااااافهة تمشي للزواولة ولي تضرو البرد والمطر والثلج,Non-Offensive
زمان الفتن اللهم أقضي اعداء الدين ربي دنيا دوم لحد لفلوس تقعدش عمركم تتقدمو بلاد عملاء لصهاينة,Offensive
اللعنة أتباع الكفار يحرفون,Offensive
أخي نشكو فمعتقدتنا منشكوش فشرع هجرنا الإسلام وتبعنا قانون الإنسان,Non-Offensive
كومبارس أفلام فرنسية يتعري وفرحان,Non-Offensive
ينجم يولي متثقف الثقافة تتميز للا مايا مخيب اسمها ثقافة فساد نقد لﻹسلام لﻷخلاق نحكيوش خير ساعة الشاب بشير لظهر متربي لهنا فهمت اختي,Non-Offensive
ثورة الخبز نهضة حضارة تتعجب,Non-Offensive
حر حياتو وربي يحاسبها,Non-Offensive
غياااارة,Non-Offensive
العياري أكبر لبرنامج يجمع طحانة والقحاب الكيفك فهمينك بوق نداء تونس يعطيك كنسار قريب,Offensive
تتفرج فها الحصة الدين شتعمل الحصة نفاااااااق,Non-Offensive
حياة بصراحة مغرية,Non-Offensive
انتظرو عداب انتظرو فتنة,Offensive
روح تزمر كلمة زائدة,Non-Offensive
صحيح ليسوا بشر يجب وضعهم السرك المزابل التخلص أنهم الكلاب المسعورة,Offensive
العاصمة هالاستفتاء,Non-Offensive
اكبر فجرا وجه البسيطة خلفت الثورة للأسف الشديد,Offensive
لاحظتو مالفيديو البنات قالو,Non-Offensive
سخنلها الماء خلاها تطبخ بقالها الريح البريمة سنتعرف بوجادي,Non-Offensive
صاحبي تقول تلافز صح بصح برامجنا فاشلة مسلسلاتنا تافهة نتفرجو باسكو تعجبنا خدمتكم برامجكم,Non-Offensive
طز,Offensive
امتاعي ماصط,Non-Offensive
ولد القحبة الرجولة قلي اتوى أنجي انيكلك أمك ولد القحبة,Offensive
تفضلو شوفو قناتي وشجعو القنوات التونسية تكبر,Non-Offensive
يمكنك معرفة أعمار الفتيات أختبار للأذكياء,Non-Offensive
يعطيك زب يظربك خشمك طحان خممتي اختك مرتك الشي أذا,Offensive
كلامك صحيح وغير علمي بتاتا يجب تعطينا المصادر العالمية الموثوقة المصدر الدليل المصدر,Non-Offensive
والله كلام صحيح موزون الصميم,Non-Offensive
يلعنك سبسي ماكش مانعرف بكلام ربي التوانسة ساكتينلاتضرون الإسلام شيءتضرو رواحكم شفتو الحقيقة خليتوها,Offensive
المسخ,Non-Offensive
شاء ربي يهلك هلبلاد,Offensive
بلاد الاسلام وبلاد جامع الزيتونة يتجرأون العضيم اللهم تؤاخذنا فعل السفهاء منا,Non-Offensive
تشال مثقف,Non-Offensive
ايدروا كلش جال الدراهم,Non-Offensive
فئه قليلة التونسيين يذكرون كثيرأ والسبسي قالها بعظمة لسانه تونس تتبع,Non-Offensive
تونسييات يموتوا زب ورت,Offensive
شمس متربي لطفي المسخ وجه الفار,Offensive
اشد اعداء الاسلام انزل محمد يسمون بمفتيين وعلماء اراضي المسلمين اشد الناس شباب الجهاد ويفتري ويطلق اوصاف براء لارضاء اسياده اذناب الغرب حساب فتنه الناس الدين وجعلهم عبيد العميل واخفو عنهم اهم عقيده الاسلام الولاء والبراء وشروط صحه اله الاالله ونواقض الاسلام وجدت شابا تونس يعمل بلاد الحرمين وحدث نقاش بيني النصاري ليسو كفار تربيه العلمانيه وهؤلاء يتأثرون بالمرجئه مرحله بشبابنا اريته الدليل إ الل ه ه يح اب يح إ ائ يل اع الل ه إ ه الل ه الل ه ه الن ار لظ نص ار يقتنع بكلام مسلم يقتنع بكلام فعرفت حجم يعانوه اخوتنا السلفيين البلدان حرب كلاميه واعلاميه وعسكريه وطعن وتزوير يريدون يتحرر المسلمون تونس قيود العلمانيه الكافره يعرفو العلمانيه والكفر بصفه عامه يستويات فإما تحكم بشرع بشرع ابليس فأقول لاخواننا الثبات الثبات الدين يحتاج رجال اشداء الشئ اتعجب المفتي المشرع للعلمانيه يستطيع يخدع شعب بأكمله يعلم يكتم يعرف الحق ماهذا الضمير الشيطاني تجدهم محل اشداء اخواننا السلفيين رحماء الملاحده ملل الكفر انتشر الاسلام بفكركم الضيف الهزيل المستضعف المهزوز بفكر الشباب المجاهد الثابت الصابر طريقتكم طريقه رسول والصحابه والتابعين,Offensive
هوم يردوننا الاروبين قوۃ بالله,Non-Offensive
شمس الدين متربي الحق,Non-Offensive
حبيبتي نتي تمافيوني خي طحتي راجل عروبي عطاك حقك تحمليه اووو تقبلي نقد نتي تاني,Non-Offensive
عريانة رمضاااان احشم استر روحك,Non-Offensive
تفعلونه تقسيم للأسرة العائلة المجتمع لجعلهم صراع دائم يخلو الجو تعملو شاطح باطح للأسف يهللون لمثل القوانين سذج نظر,Non-Offensive
اشنيقوها,Offensive
نعيم الزعيم ضحكتني,Non-Offensive
حرام ولية وهذي حاجة تخصها ميدخل فاها احترمو قراراتها ونتوما سقسى غليكم جات ودارت بحوث ربي يهديكم ياشعب,Non-Offensive
تونس حاجة لفتوحات,Non-Offensive
والله زكيمة وراس اختي برا عيش اختي شد فركة صابون ضاهر عايشة دار بوك لابسة جبا تتفرج عادل الإمام غالب مايا امثالك مينجموش يفهموها لكتب تقرا فاهم ممكن تبيعهم للحماص اللغات تحكي باهم صعيب مخك برا عيش اختي الرشتة برد برا تعشا,Offensive
شبعة ضحك يقو ربي وديع جبدله خناره ههههههههههههه ههههههههههههه ههههههههههههه قله امين مال الزوارق الشراعية هههه الاحترام والتقدير ايرلندا الصفحة بريطانيا,Non-Offensive
عبيد الصلبي جزاك خيرا التعديل,Non-Offensive
تجوع الثعلب التونسيه تتحول أنثى العنكبوت تقتل زوجها بمجرد الانتهاء عملية التزاوج ليلة الدخلة ههههههه,Offensive
ماطخالط النخالة تونقبك الدجاجة,Non-Offensive
ياشموسة الجزائر كامل طلعت خير,Non-Offensive
يحارب ينتظر الاسوء اانتم اقوى,Non-Offensive
يعطك بوووز وجه الهم جيتها تونس دخلت جبل منحطة بالها الشراب اللبسة الأخر طلعت جاسوسة منحطة مريم خسارةوفيك إسمك رمز الطهارة الأخر قالت ناس تسبني غايرين لبسي ترا روحك أزين ناس تلبس فعلك تهزو فلوسك تفليمك,Offensive
امازيغي قبايلي الجزائر احب اليهود الامازيغ مشكلۃ اخواننا اليهود مشكلۃ العرب,Offensive
اعجابى بشمس بصراحه لطفى زودها كتير وعامل ابو الضمير الفنى,Non-Offensive
شمس وبنة,Offensive
مرسي لعزيزة,Non-Offensive
والله وبالله وتالله نكرهك مايا أشد كره,Offensive
كسمك بالاساس دين مله كلاب للغرب والغرب بيدفعلكم فلوس تحتلون الشرق الاوسط وتبنى دوله اسرائيل احفاد الكينج كونج,Offensive
بشرة خير,Non-Offensive
تفضل فهمنا,Non-Offensive
احب ربي احارب دينوا حاشت الدنيا الزايفة اتبع هالمهود ياربي تحمي عبادك الصالحين وتعجل بالنتقامك عالكفرة اللهم امين يارب العلامين شوف الشعب اقاسي يمقيمك ياعمر بعدك تتدفن العدل ياربي الزين اشتمتوه لعبتولوا اللعبة اخرجتوه اعملش هالكارثة,Offensive
تونسي همك الوحيد ملأ القفة وآخر همك تغيير حكم الميراث ذهبت هيبتك الرجال المسلمين تونس يبقون رغم حقد الحاقدين,Non-Offensive
كول البخس امارك مقلبة ثرثارة بافارغ,Offensive
راجل زيدها مزالت تتنفس هههه,Non-Offensive
النفس التش,Non-Offensive
مامسطك والله ماتتمضغي ماتتبلعي والله والله,Offensive
منافق ونذل تونس لطفي العبدل,Offensive
للطلاق التعويض الجانبين تضرر الرجل يدفع تعويض واذا تضررت المرأة يدفع تعويض,Non-Offensive
بشير معذبهم,Non-Offensive
تفوه مايا باه تقابلي ربي كلبة عندو حق بشير,Non-Offensive
نجحو هوما,Non-Offensive
أشكال زايد تجاوبها شمس,Non-Offensive
تحيا جزائريين مغاربة توانسة كلاب,Offensive
زهمة المريض مية جماعة حراك الطراطبر,Non-Offensive
محلاها المذيعة عسل,Non-Offensive
نيك مك تونس,Offensive
قنات العار والقحبى,Offensive
موتي برا تفرج تلافزكم سيب زبوبنا,Offensive
كلب فرنسا تنبح,Offensive
أصبحنا نجادل القوانين الإلاهية الانسان شيئ جدلا هههه ادخل متاهات التكفير الخروج الملة المهم السبسي احن المرأة التونسية جيد يفرض المساواة الميراث يفرض الأمور كإسقاط النفقة الرجل ملزم بتاتا بالنفقة ضف الأغلبية العضمى الناس اقصد الرجال بالذات تعطي الميراث للبنات بحكم مفروض كتابه العزيز نزعنا القداسة الحكم فأبشرن يابنات تونس يسؤكن والله قليل لعاد تشوف التركة طريقة طريقة كتابة الاملاك الولد حياة الأب مثلا نصيحة متلعبوش ربي سبحانوا يكفيكم قالك الزلط التفرعين,Non-Offensive
يروى المسلمين دخلوا الأندلس طردوا بقايا النصارى رفضوا الخضوع طردوهم قمم الجبال الشمالية كونوا مملكة بقيادة بلاي وأصبح ملكا وحينما جمعوا أمرهم وقويت شوكتهم أرادوا حرب المسلمين واسترجاع أرضهم ورأوا الأمر يحتاج روية ودراسة حال المسلمين فأرسل ملكهم بلاي جاسوسا لينظر حال المسلمين عبر الجاسوس النهر وخرج شاطئ المسلمين فوجد فتية صغارا يتنافسون رمي النبال ووجد واحدا منفردا يبكي فسأله حاله وماذا ألم,Non-Offensive
فاهمة كيفف ربي نظملهم حياتهم وراهم الطريق الصحيح واضح يتفلسفو ويحبو يعملوا يطلعوا قوانين جدد ريوسهم وقت الامر محسوم عطى ربي منشغلين تطوير انفسهم بلادهم يرجعو للتراهات ديجا امرها محسوم منظمها ربي بكري يخلقوا لرواحهم مشاكل تشغلهم مشاكلهم الاهم الاصلية قرارهم اصلح افضل قانون ربي لله هوما جاو يعرفواا المرأة اكبر حاجة كرمتها العالم دين الاسلام نحكيو مساواة الرجل الاسلام مساواة تامة المجالات جاو يفهموا فهموا ورا حكمة تساوات ينجم ظلم مهمتنا نعوفوا امور ربي يعرف يدبرها خير منا دورنا نحاولوا نفهموا ديننا نجمنا بساطة نحاولوا نتدبروا نعرفواا الحكم واجب مستحب دنيا نسبية نسبي ناخذوه نتعاملوا بنسبية نحاولوا نفهموا ديننا نتفلسفوا وحدنا منهاج حياتناو كلل حاجة ربي منعها جينا نتدبروا نلقاو شر لينا منعها ربي يحمينا مافيهاش شر واضح مافهمناهش بساطة يختبرنا نجمواا نغلبوا هوانا يعلمنا نحبوه بصدق نضحيو جالو نعبرولوا صدقنا صبرنا شهواتنا اغلبها باهية خاطرنا نحبوه يرضى المراة حاجات خير الراجل حاجات حظو خير المقارنة الجنسين تجيش ااحاجات الفايدة هوما ربي متساوين الحساب السياسيين ولاو يتدخلوا حاجات يفهموهاش تعنهيمش يحبوا يبدلو الدين نحب نقللهم بسطوا الدين خاطروا بسيط اتقيدوا بلي قالكم ربي نقاش زايد عقيم ينفع شيئ ديننا صحيح دين يحبنا نخدموا مخاخنا نكونوش بالدرجة ولاو يحللوا يتدخلوا للميراث المراة تنساوش تورث راجلها بوها تعملوا معادلة تلقاو متعادلة الرجل الاسلام حالات ربي يعرف شيعمل السياسة اصلح بالله لله ماهمش احن المرأة ربي النهاية اعدل اكمل ربي سبحانو العادل الكامل مقاييسو مقاييسنا نجيو قدامو يجي يحب ينحي قوانينو الاسلامية المنزلة عليناا بكري يبدل,Non-Offensive
تاكل روحك اااخويا تبالك محترمة دافع خويا مدي تونسية متربية مجمعناش,Non-Offensive
غلط غلط أمر مفروض خالق العباد نقاش صاحب الفيديو غالط,Non-Offensive
تمسك بالسنة معناها ولدك حلال ينيكك قحبة يجوز للإبن ينكح أمه بشرط يضع إحليله زبه قماش ويجوز للأب ينكح إبنته الزنى ويطأها وينجب أطفال المذاهب الأربعة ويجوز نكاح الجثة المية مضاجعة الوداع حذاء الملحد أشرف وأطهر وأقدس دينكم ورسولكم أقذر وأنجس وأوسخ وأفسد وأشر الخلق,Offensive
ناس تعشق الرخص,Non-Offensive
بسم الرحمان الرحيم يوصيك اولادكم لذكر حض الانثيين صدق العظيم,Non-Offensive
بنت حرام ساقطة صرف,Offensive
دزاير سيد قاعد يهدر شرف نقلك كراج تمد شراف عائلتك,Non-Offensive
برا نيك,Offensive
سيدي الكعبة والقدس محتاجة شهادة ديوث مايغار خواته واهله يقدمهم للفرنسيين عشان ينيكونهم بمقابل مادي قليل الكعبة المشرفة رجالها يحمونها تدخل الحد يقصونك طيزك,Offensive
يوزززع,Non-Offensive
تستاهل طريحة نباشة القبور شبو الراجل ضربها,Non-Offensive
بني باطل باطل بورقيبة أجرم حق الشعب التونسي يملك يكفيه فرنسة العقلية التونسية ومحاربة الرأي الاخر قتل يوسف وفرحات حشاد والاستلاء الكرسي لنصف قرن غدر كلبه الهالكين قبح وجه وشرد شمله,Non-Offensive
نعيم الزعيم,Non-Offensive
طفف سقط بشير البرميل,Non-Offensive
شعب جاهل يلهوا,Offensive
هههه قتلك ماعندكش ثقافة شخصية قوية هههه ماتعرف,Non-Offensive
حط مخك شعب يكرهنا العالم هوما لبية,Non-Offensive
سمحلي مي يحشم مسلمين,Non-Offensive
مرسي احدى لقاءاته بالتلفزيون يحترم الفن والفنانين ادخلوا بيوتنا الرذيلة الفسق الزناوووووانه نقول منافق,Non-Offensive
صحيح كلامها منطقي,Non-Offensive
الفتوحات الاسلامية تخص تونس القيروان تكن عاصمة الشمال الافريقي عهد موسى ابن نصير رضي,Non-Offensive
شيخ حقير قابض فلوس,Offensive
فخورة وطني اتمنى تبتعد القنوات تبث الفتنة الطوائف,Non-Offensive
يحبلك باه تحكي كريم الغربي احسن وباه تحكي كريم وشعرو الاقل راجل نقولو شعرك بدون حجاب وارتقي احكي كريم والاسلام,Non-Offensive
